Temperature	Standard_1_1	Standard_1_2	Standard_1_3	Standard_2_1	Standard_2_2	Standard_2_3	Standard_3_1	Standard_3_2	Standard_3_3	Standard_4_1	Standard_4_2	Standard_4_3	Standard_5_1	Standard_5_2	Standard_5_3	Standard_6_1	Standard_6_2	Standard_6_3	Standard_7_1	Standard_7_2	Standard_7_3	Standard_8_1	Standard_8_2	Standard_8_3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
65.00	3352.10	3298.09	3202.16	3282.45	3336.09	3197.37	3261.98	3157.75	3127.05	3220.20	3291.93	3106.69	3270.26	3261.86	3207.33	3213.63	3207.73	3065.23	3276.85	3184.69	3265.26	3360.68	3240.70	3206.66	2939.70	3029.12	2797.14	3128.67	3175.05	2951.19	3246.50	3154.15	3133.67	2889.15
65.10	3353.92	3300.65	3204.42	3284.15	3337.51	3198.90	3264.14	3159.95	3129.66	3222.57	3294.42	3109.06	3272.50	3263.26	3209.36	3215.42	3209.50	3066.93	3277.99	3185.59	3266.27	3361.40	3241.63	3207.40	2941.66	3032.70	2796.77	3131.84	3178.01	2952.19	3250.12	3154.63	3135.74	2890.48
65.20	3355.74	3303.21	3206.67	3285.85	3338.94	3200.42	3266.31	3162.16	3132.27	3224.93	3296.90	3111.43	3274.75	3264.65	3211.40	3217.21	3211.26	3068.62	3279.13	3186.49	3267.28	3362.12	3242.56	3208.15	2943.62	3036.27	2796.40	3135.00	3180.98	2953.19	3253.75	3155.11	3137.81	2891.81
65.30	3357.56	3305.77	3208.93	3287.55	3340.36	3201.95	3268.47	3164.37	3134.88	3227.29	3299.39	3113.80	3276.99	3266.04	3213.43	3218.99	3213.03	3070.31	3280.27	3187.39	3268.28	3362.84	3243.48	3208.90	2945.58	3039.85	2796.03	3138.16	3183.94	2954.19	3257.37	3155.58	3139.88	2893.14
65.40	3359.38	3308.33	3211.18	3289.25	3341.79	3203.47	3270.63	3166.58	3137.49	3229.66	3301.87	3116.16	3279.24	3267.44	3215.47	3220.78	3214.80	3072.01	3281.41	3188.29	3269.29	3363.56	3244.41	3209.64	2947.55	3043.43	2795.66	3141.33	3186.91	2955.19	3261.00	3156.06	3141.95	2894.47
65.50	3361.19	3310.89	3213.44	3290.95	3343.21	3204.99	3272.79	3168.79	3140.10	3232.02	3304.36	3118.53	3281.48	3268.83	3217.50	3222.57	3216.57	3073.70	3282.55	3189.19	3270.30	3364.28	3245.33	3210.39	2949.51	3047.01	2795.29	3144.49	3189.87	2956.20	3264.62	3156.54	3144.02	2895.79
65.60	3363.01	3313.45	3215.70	3292.65	3344.64	3206.52	3274.96	3171.00	3142.71	3234.38	3306.84	3120.90	3283.72	3270.22	3219.54	3224.36	3218.34	3075.39	3283.69	3190.09	3271.30	3365.00	3246.26	3211.13	2951.47	3050.58	2794.92	3147.65	3192.84	2957.20	3268.24	3157.01	3146.09	2897.12
65.70	3364.00	3315.07	3217.12	3293.64	3345.16	3207.34	3275.91	3171.79	3144.01	3235.34	3307.92	3121.99	3285.03	3270.79	3220.85	3224.93	3218.84	3076.05	3283.77	3190.13	3271.71	3365.01	3246.59	3211.22	2952.34	3052.72	2794.24	3149.33	3194.49	2957.59	3270.81	3156.94	3147.01	2897.67
65.80	3364.25	3315.99	3217.92	3294.15	3345.31	3207.68	3275.98	3171.58	3144.39	3235.37	3308.11	3122.13	3285.70	3270.75	3221.64	3224.94	3218.37	3076.14	3283.30	3189.87	3271.33	3364.52	3246.27	3210.64	2952.53	3053.76	2793.45	3150.17	3195.19	2957.38	3272.41	3156.53	3147.21	2897.80
65.90	3363.93	3316.21	3217.81	3293.99	3344.97	3207.43	3275.53	3170.94	3143.89	3234.67	3307.59	3121.55	3285.61	3270.59	3221.98	3224.72	3217.57	3075.73	3282.28	3189.42	3270.64	3363.52	3245.42	3209.78	2952.34	3054.27	2792.67	3150.43	3195.33	2956.99	3273.25	3155.78	3147.02	2897.39
66.00	3363.32	3315.97	3217.55	3293.41	3344.33	3206.98	3274.81	3169.72	3143.19	3233.92	3306.69	3120.63	3285.24	3270.07	3221.88	3224.23	3216.46	3074.88	3281.01	3188.47	3269.78	3362.14	3244.23	3208.71	2951.88	3054.44	2791.85	3150.59	3194.94	2956.68	3273.65	3154.99	3146.48	2896.66
66.10	3362.52	3315.20	3216.84	3292.45	3343.47	3206.24	3273.81	3168.08	3142.09	3233.03	3305.45	3119.64	3284.37	3269.36	3221.29	3223.52	3215.18	3073.66	3279.57	3187.18	3268.75	3360.55	3242.73	3207.52	2951.17	3054.18	2791.03	3150.34	3194.24	2956.24	3273.57	3154.19	3145.79	2895.67
66.20	3361.39	3314.28	3215.94	3291.32	3342.83	3205.44	3272.72	3166.68	3140.82	3232.04	3304.23	3118.45	3283.47	3268.67	3220.54	3222.53	3213.95	3072.29	3278.15	3186.04	3267.76	3359.02	3241.24	3206.29	2950.39	3053.68	2790.25	3149.77	3193.36	2955.74	3272.97	3153.51	3144.98	2894.61
66.30	3360.22	3313.40	3214.79	3289.97	3342.00	3204.48	3271.41	3165.41	3139.46	3230.87	3302.73	3117.16	3282.34	3268.00	3219.75	3221.13	3212.84	3070.89	3276.79	3184.65	3266.81	3357.57	3239.74	3205.17	2949.55	3053.17	2789.35	3148.97	3192.38	2955.08	3272.19	3152.82	3144.23	2893.60
66.40	3358.97	3312.50	3213.68	3288.72	3341.20	3203.64	3270.08	3164.11	3138.23	3229.55	3301.36	3115.98	3281.30	3267.27	3218.93	3219.85	3211.76	3069.66	3275.39	3182.98	3265.71	3356.16	3238.40	3203.93	2948.66	3052.33	2788.47	3147.85	3191.29	2954.33	3271.29	3152.31	3143.28	2892.67
66.50	3357.46	3311.59	3212.26	3287.37	3340.38	3202.58	3268.68	3163.08	3136.68	3227.93	3300.02	3114.80	3280.09	3266.55	3218.01	3218.47	3210.51	3068.49	3274.06	3181.81	3264.33	3354.73	3237.11	3202.69	2947.63	3051.19	2787.58	3146.37	3190.28	2953.17	3270.18	3151.52	3142.24	2891.69
66.60	3355.75	3310.83	3210.82	3286.05	3339.61	3201.47	3267.13	3162.21	3135.28	3226.22	3298.91	3113.33	3279.03	3265.84	3217.20	3217.26	3209.40	3067.39	3272.69	3180.64	3262.98	3353.28	3236.09	3201.27	2946.49	3050.16	2786.62	3145.00	3189.38	2951.97	3269.02	3150.57	3141.23	2890.60
66.70	3354.01	3310.00	3209.28	3284.71	3338.34	3200.24	3265.39	3161.01	3134.10	3224.41	3297.40	3111.76	3277.77	3264.94	3216.36	3216.20	3208.22	3066.50	3271.22	3179.28	3261.39	3351.74	3235.10	3199.96	2945.30	3049.24	2785.75	3143.47	3188.37	2950.68	3268.02	3149.33	3140.13	2889.65
66.80	3352.28	3308.80	3207.91	3283.02	3336.97	3198.86	3263.71	3159.58	3132.85	3222.60	3295.97	3110.31	3276.48	3263.92	3215.26	3215.06	3207.16	3065.65	3269.74	3178.10	3259.80	3349.94	3234.18	3198.57	2943.89	3048.36	2784.88	3141.93	3187.34	2949.58	3266.90	3148.05	3138.66	2888.48
66.90	3350.41	3307.48	3206.44	3281.25	3335.49	3197.34	3262.00	3158.01	3131.62	3220.89	3294.16	3108.96	3275.08	3262.59	3214.02	3213.54	3205.85	3064.67	3268.26	3177.12	3258.37	3348.05	3233.06	3197.29	2942.36	3047.46	2783.94	3140.38	3186.12	2948.52	3265.63	3146.58	3137.28	2887.22
67.00	3348.73	3306.06	3204.99	3279.36	3333.94	3195.89	3260.12	3156.45	3130.74	3219.25	3292.35	3107.57	3273.53	3261.26	3213.04	3211.89	3204.61	3063.57	3266.59	3175.65	3257.15	3345.95	3231.85	3196.05	2940.87	3046.74	2783.03	3139.06	3185.23	2947.58	3264.44	3145.32	3135.71	2886.01
67.10	3347.10	3304.29	3203.83	3277.54	3332.13	3194.59	3258.15	3154.99	3129.81	3217.73	3290.31	3106.44	3271.80	3259.93	3211.82	3209.90	3203.33	3062.49	3264.82	3174.28	3255.89	3343.90	3230.34	3194.90	2939.48	3045.79	2782.13	3137.72	3184.17	2946.51	3263.28	3144.01	3133.99	2884.87
67.20	3345.53	3302.44	3202.66	3275.76	3330.60	3193.33	3256.30	3153.62	3128.61	3216.21	3288.47	3105.41	3270.09	3258.55	3210.54	3207.82	3201.84	3061.38	3263.10	3172.92	3254.86	3341.82	3228.66	3193.58	2938.04	3044.62	2781.05	3136.48	3183.12	2945.42	3261.97	3142.75	3132.23	2883.65
67.30	3343.88	3300.73	3201.32	3274.49	3329.15	3192.08	3254.47	3152.31	3127.55	3214.71	3286.59	3104.25	3268.25	3256.98	3209.43	3205.96	3200.10	3060.09	3261.25	3171.38	3253.60	3339.96	3226.91	3192.21	2936.78	3043.29	2779.96	3135.27	3182.06	2944.20	3260.77	3141.42	3130.60	2882.52
67.40	3342.25	3299.01	3200.03	3273.19	3327.65	3190.71	3252.56	3151.18	3126.59	3213.21	3284.96	3102.73	3266.50	3255.38	3208.46	3204.27	3198.53	3058.76	3259.58	3169.71	3252.09	3338.08	3225.14	3190.96	2935.55	3041.88	2778.69	3134.08	3181.08	2942.78	3259.58	3140.22	3128.93	2881.42
67.50	3340.55	3297.24	3199.00	3272.05	3326.18	3189.42	3250.75	3149.92	3125.24	3211.81	3283.25	3101.27	3264.91	3253.71	3207.08	3202.64	3197.17	3057.49	3258.14	3168.33	3250.29	3336.51	3223.51	3189.60	2934.54	3040.42	2777.31	3132.71	3179.53	2941.37	3258.41	3138.96	3127.51	2880.38
67.60	3338.87	3295.83	3197.58	3270.71	3324.87	3188.01	3249.11	3148.44	3123.67	3210.45	3281.61	3099.60	3263.28	3251.92	3205.97	3201.22	3195.77	3056.11	3256.79	3166.98	3248.38	3335.05	3221.96	3188.19	2933.42	3039.27	2775.80	3131.21	3178.08	2940.05	3257.22	3137.90	3126.11	2879.36
